school,student,gcse,lrt,schooltype,sid
1,1,2.613199949,6.190599918,Co-ed,C1
1,2,1.340699911,2.058000088,Co-ed,C1
1,3,-17.23900032,-13.64599991,Co-ed,C1
1,4,9.675899506,2.058000088,Co-ed,C1
1,5,5.443400383,3.710999966,Co-ed,C1
1,6,17.34899902,21.8939991,Co-ed,C1
1,7,10.39599991,-11.16600037,Co-ed,C1
1,8,-1.290799975,-10.34000015,Co-ed,C1
1,9,-9.393799782,-5.380599976,Co-ed,C1
1,10,-12.19499969,-14.47199917,Co-ed,C1
1,11,24.08699989,24.37400055,Co-ed,C1
1,12,6.107299805,21.06800079,Co-ed,C1
1,13,-18.36700058,0.404990017,Co-ed,C1
1,14,-1.290799975,11.97599983,Co-ed,C1
1,15,22.03100014,25.20000076,Co-ed,C1
1,16,12.40499973,11.14999962,Co-ed,C1
1,17,17.34899902,10.32299995,Co-ed,C1
1,18,13.10099983,7.843599796,Co-ed,C1
1,19,-6.230499744,-11.16600037,Co-ed,C1
1,20,10.39599991,-11.99300003,Co-ed,C1
1,21,-10.29099941,-3.727600098,Co-ed,C1
1,22,-12.19499969,-13.64599991,Co-ed,C1
1,23,3.280700207,-9.513199806,Co-ed,C1
1,24,-4.927800179,-23.56399918,Co-ed,C1
1,25,19.00300026,-0.421519995,Co-ed,C1
1,26,8.96570015,3.710999966,Co-ed,C1
1,27,0.735360026,11.14999962,Co-ed,C1
1,28,1.941499949,0.404990017,Co-ed,C1
1,29,15.06199932,6.190599918,Co-ed,C1
1,30,19.00300026,20.24100113,Co-ed,C1
1,31,3.280700207,-6.207099915,Co-ed,C1
1,32,8.96570015,-11.16600037,Co-ed,C1
1,33,16.61800003,2.884500027,Co-ed,C1
1,34,-7.761099815,-1.247999907,Co-ed,C1
1,35,4.02670002,3.710999966,Co-ed,C1
1,36,9.675899506,10.32299995,Co-ed,C1
1,37,4.781899929,-1.247999907,Co-ed,C1
1,38,1.340699911,1.23150003,Co-ed,C1
1,39,23.13600159,6.190599918,Co-ed,C1
1,40,-1.976100087,2.884500027,Co-ed,C1
1,41,4.781899929,-2.90109992,Co-ed,C1
1,42,8.219900131,7.843599796,Co-ed,C1
