"","area","inc","resp"
"1",1,0,1
"2",1,0,1
"3",1,0,1
"4",1,1,1
"5",1,0,1
"6",1,1,1
"7",1,1,0
"8",1,0,0
"9",1,1,0
"10",1,0,0
"11",1,1,1
"12",1,0,0
"13",1,0,1
"14",1,1,1
"15",1,0,0
"16",1,1,1
"17",1,1,1
"18",1,1,0
"19",1,0,0
"20",1,0,0
"21",1,1,1
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,0,0
"26",1,1,1
"27",1,0,0
"28",1,1,1
"29",1,0,0
"30",1,1,1
"31",1,0,0
"32",1,0,1
"33",1,1,1
"34",1,1,1
"35",1,0,0
"36",1,1,1
"37",1,0,0
"38",1,1,1
"39",1,0,1
"40",1,0,1
"41",1,0,1
"42",1,0,0
"43",1,0,1
"44",1,0,0
"45",1,1,1
"46",1,0,1
"47",1,0,0
"48",1,1,1
"49",1,0,0
"50",1,0,1
"51",2,1,1
"52",2,1,0
"53",2,1,1
"54",2,0,1
"55",2,0,1
"56",2,0,0
"57",2,0,0
"58",2,1,1
"59",2,0,1
"60",2,1,1
"61",2,0,1
"62",2,1,1
"63",2,1,1
"64",2,0,1
"65",2,1,1
"66",2,0,1
"67",2,1,1
"68",2,1,0
"69",2,1,0
"70",2,1,1
"71",2,1,1
"72",2,0,1
"73",2,1,1
"74",2,1,1
"75",2,1,1
"76",2,0,0
"77",2,1,1
"78",2,0,1
"79",2,0,1
"80",2,0,1
"81",2,0,1
"82",2,1,0
"83",2,1,1
"84",2,0,0
"85",2,0,1
"86",2,0,0
"87",2,1,1
"88",2,1,1
"89",2,0,1
"90",2,0,1
"91",2,0,1
"92",2,0,1
"93",2,1,1
"94",2,0,1
"95",2,1,1
"96",2,0,1
"97",2,1,1
"98",2,1,1
"99",2,0,1
"100",2,0,1
"101",3,1,1
"102",3,0,1
"103",3,1,1
"104",3,1,1
"105",3,1,1
"106",3,0,1
"107",3,1,1
"108",3,0,1
"109",3,0,0
"110",3,0,1
"111",3,1,0
"112",3,1,1
"113",3,1,1
"114",3,0,1
"115",3,0,0
"116",3,0,0
"117",3,1,1
"118",3,1,1
"119",3,0,0
"120",3,0,1
"121",3,1,1
"122",3,1,0
"123",3,1,1
"124",3,1,1
"125",3,1,1
"126",3,0,0
"127",3,0,1
"128",3,1,0
"129",3,0,0
"130",3,1,1
"131",3,1,1
"132",3,1,1
"133",3,0,0
"134",3,1,0
"135",3,1,1
"136",3,0,1
"137",3,0,1
"138",3,1,0
"139",3,0,0
"140",3,0,1
"141",3,0,1
"142",3,1,0
"143",3,1,1
"144",3,1,0
"145",3,0,1
"146",3,0,0
"147",3,1,0
"148",3,0,0
"149",3,1,0
"150",3,1,1
"151",4,0,1
"152",4,1,1
"153",4,0,1
"154",4,1,1
"155",4,0,0
"156",4,0,0
"157",4,1,0
"158",4,0,0
"159",4,0,0
"160",4,0,0
"161",4,1,0
"162",4,0,0
"163",4,0,1
"164",4,0,0
"165",4,0,1
"166",4,0,0
"167",4,1,1
"168",4,1,0
"169",4,1,1
"170",4,1,0
"171",4,1,0
"172",4,0,1
"173",4,1,0
"174",4,0,1
"175",4,1,0
"176",4,1,1
"177",4,1,1
"178",4,0,0
"179",4,1,1
"180",4,0,1
"181",4,0,1
"182",4,1,0
"183",4,0,0
"184",4,0,1
"185",4,0,1
"186",4,1,1
"187",4,1,0
"188",4,1,0
"189",4,0,1
"190",4,1,0
"191",4,0,0
"192",4,1,1
"193",4,1,0
"194",4,1,0
"195",4,1,0
"196",4,1,0
"197",4,0,0
"198",4,1,1
"199",4,0,1
"200",4,1,0
"201",5,1,1
"202",5,1,0
"203",5,1,1
"204",5,0,0
"205",5,0,1
"206",5,1,1
"207",5,0,0
"208",5,0,0
"209",5,0,1
"210",5,0,1
"211",5,1,1
"212",5,0,0
"213",5,1,1
"214",5,0,0
"215",5,0,1
"216",5,0,0
"217",5,1,1
"218",5,1,1
"219",5,0,0
"220",5,1,0
"221",5,0,1
"222",5,1,1
"223",5,0,0
"224",5,1,1
"225",5,1,1
"226",5,1,1
"227",5,1,1
"228",5,0,1
"229",5,0,0
"230",5,0,1
"231",5,0,1
"232",5,0,0
"233",5,1,1
"234",5,0,0
"235",5,1,1
"236",5,1,1
"237",5,0,1
"238",5,0,1
"239",5,0,1
"240",5,1,1
"241",5,0,1
"242",5,1,0
"243",5,1,0
"244",5,0,0
"245",5,1,1
"246",5,1,1
"247",5,1,0
"248",5,1,1
"249",5,0,0
"250",5,0,1
"251",6,0,0
"252",6,1,1
"253",6,1,1
"254",6,0,0
"255",6,1,0
"256",6,0,0
"257",6,0,1
"258",6,0,1
"259",6,1,1
"260",6,0,0
"261",6,1,1
"262",6,0,0
"263",6,1,1
"264",6,0,0
"265",6,1,1
"266",6,0,0
"267",6,1,0
"268",6,1,0
"269",6,0,1
"270",6,1,1
"271",6,1,0
"272",6,1,0
"273",6,0,1
"274",6,0,0
"275",6,1,0
"276",6,0,1
"277",6,0,1
"278",6,1,1
"279",6,0,0
"280",6,0,1
"281",6,0,0
"282",6,1,0
"283",6,1,0
"284",6,1,0
"285",6,1,1
"286",6,1,1
"287",6,1,0
"288",6,1,0
"289",6,0,0
"290",6,1,1
"291",6,0,1
"292",6,1,1
"293",6,1,1
"294",6,0,0
"295",6,0,1
"296",6,1,1
"297",6,1,1
"298",6,0,1
"299",6,0,0
"300",6,0,1
"301",7,1,1
"302",7,0,1
"303",7,0,1
"304",7,0,0
"305",7,1,1
"306",7,1,1
"307",7,0,0
"308",7,1,1
"309",7,0,0
"310",7,0,1
"311",7,0,1
"312",7,0,0
"313",7,0,0
"314",7,0,0
"315",7,0,1
"316",7,1,1
"317",7,1,0
"318",7,1,1
"319",7,0,1
"320",7,0,1
"321",7,1,1
"322",7,0,0
"323",7,0,1
"324",7,1,1
"325",7,1,0
"326",7,1,1
"327",7,0,0
"328",7,1,1
"329",7,0,1
"330",7,0,1
"331",7,0,1
"332",7,0,0
"333",7,1,1
"334",7,1,0
"335",7,1,1
"336",7,1,0
"337",7,1,1
"338",7,0,1
"339",7,1,1
"340",7,0,1
"341",7,1,1
"342",7,1,1
"343",7,1,1
"344",7,0,1
"345",7,1,1
"346",7,0,0
"347",7,1,1
"348",7,0,1
"349",7,1,1
"350",7,1,1
"351",8,0,0
"352",8,1,0
"353",8,0,0
"354",8,1,0
"355",8,1,0
"356",8,1,1
"357",8,0,0
"358",8,1,1
"359",8,1,1
"360",8,0,0
"361",8,1,1
"362",8,1,1
"363",8,1,1
"364",8,1,1
"365",8,1,1
"366",8,1,0
"367",8,0,0
"368",8,0,0
"369",8,0,0
"370",8,1,0
"371",8,1,1
"372",8,1,1
"373",8,1,0
"374",8,0,0
"375",8,1,0
"376",8,0,0
"377",8,1,0
"378",8,1,0
"379",8,0,0
"380",8,1,1
"381",8,1,1
"382",8,1,1
"383",8,1,1
"384",8,0,0
"385",8,0,1
"386",8,1,0
"387",8,0,0
"388",8,1,1
"389",8,1,0
"390",8,0,1
"391",8,0,1
"392",8,1,1
