month,dispensings
1-Jan-11,16831
1-Feb-11,17234
1-Mar-11,20546
1-Apr-11,19226
1-May-11,21136
1-Jun-11,20939
1-Jul-11,21103
1-Aug-11,22897
1-Sep-11,22162
1-Oct-11,22184
1-Nov-11,23108
1-Dec-11,25967
1-Jan-12,20123
1-Feb-12,21715
1-Mar-12,24497
1-Apr-12,21720
1-May-12,25053
1-Jun-12,23915
1-Jul-12,24972
1-Aug-12,26183
1-Sep-12,24163
1-Oct-12,26172
1-Nov-12,26642
1-Dec-12,29086
1-Jan-13,24002
1-Feb-13,24190
1-Mar-13,26052
1-Apr-13,26707
1-May-13,29077
1-Jun-13,26927
1-Jul-13,30300
1-Aug-13,29854
1-Sep-13,28824
1-Oct-13,31519
1-Nov-13,32084
1-Dec-13,33160
1-Jan-14,24827
1-Feb-14,23285
1-Mar-14,23884
1-Apr-14,21921
1-May-14,22715
1-Jun-14,19919
1-Jul-14,20560
1-Aug-14,18961
1-Sep-14,18780
1-Oct-14,17998
1-Nov-14,16624
1-Dec-14,18450
