Year,p_deaths
1750,5.179753024
1751,4.746052882
1752,17.27117403
1753,4.015355883
1754,10.39390201
1755,9.070584478
1756,7.704101188
1757,15.46473983
1758,7.242831133
1759,13.24219547
1760,11.02874433
1761,7.240184209
1762,10.41935729
1763,13.69894447
1764,10.26635635
1765,10.7533362
1766,9.761197775
1767,9.676278082
1768,12.8093405
1769,9.008101799
1770,8.852634394
1771,7.621671258
1772,15.3226116
1773,4.797746583
1774,11.87033135
1775,13.01062689
1776,9.071818564
1777,11.00111425
1778,6.985636551
1779,12.208619
1780,4.245260028
1781,16.90086436
1782,3.549503293
1783,8.145462189
1784,9.866502131
1785,10.56609757
1786,5.915713308
1787,12.49676986
1788,5.589683708
1789,10.01012097
1790,8.964408471
1791,9.312366738
1792,7.757383862
1793,10.95222769
1794,9.942310691
1795,4.910524576
1796,18.39485691
1797,3.068061596
1798,12.87248692
1799,6.126612992
1800,10.44303797
1801,7.541034376
1802,8.147995253
1803,6.138290267
1804,3.651520488
1805,9.592940507
1806,6.455569183
1807,7.074288208
1808,5.858474491
1809,6.972422062
1810,6.022218871
1811,4.406501203
1812,7.034708937
1813,5.184158873
1814,3.308613805
1815,3.706543967
1816,3.214215397
1817,5.263421474
1818,2.136513575
1819,3.702933222
1820,4.093446351
1821,2.753238307
1822,3.201696263
1823,3.759654151
1824,3.58254682
1825,6.178065253
1826,2.423162154
1827,2.763323165
1828,2.7546179
1829,3.128719606
1830,2.896742897
1831,2.222046809
1832,2.755944826
1833,3.965663412
1834,4.959686302
1835,3.1785
1836,1.687307341
1837,1.189301103
1838,2.774320198
1839,4.206071091
1840,0.652971153
1841,2.313929725
1842,0.792951542
1843,0.899051685
1844,3.529641949
1845,1.881286477
1846,0.519716886
1847,1.615058091
1848,2.804175105
1849,0.757763072
1850,1.019407559
1851,1.913927336
1852,2.121234306
1853,0.351262715
1854,0.941693692
1855,1.677375609
1856,0.927122254
1857,0.263945993
1858,0.377576334
1859,1.871968962
1860,1.44120432
1861,0.332561953
1862,0.543260453
1863,2.808893892
1864,0.699148751
1865,0.8703812
1866,1.728959765
1867,1.896396142
1868,0.808965013
1869,0.352193847
1870,1.253316846
1871,9.837125451
1872,2.502978067
1873,0.149750195
1874,0.074206189
1875,0.0561222
1876,0.947586615
1877,3.293780423
1878,1.683137739
1879,0.536960802
1880,0.585494527
1881,2.924596958
1882,0.519821982
1883,0.165442311
1884,1.114080365
1885,1.12375
1886,0.02907505
1887,0.01094784
1888,0.011414367
1889,0
1890,0.004480889
1891,0.008830509
1892,0.046359114
1893,0.225008738
1894,0.113684809
1895,0.063002589
1896,0.010923656
1897,0.019724109
1898,0.001188298
1899,0.003344892
1900,0.004627594
1901,0.301553875
1902,1.591955416
