males,females
3035,1196
2552,2158
2704,1987
2554,2128
2014,1330
1655,1563
1721,419
1524,717
1596,1595
2074,815
2199,1631
2512,2470
2933,2781
2889,279
2938,2559
2497,756
1870,1513
1726,1481
1607,488
1545,600
1396,378
1787,1124
2076,2052
2837,2509
2787,321
3891,1640
3179,2751
2011,1270
1636,708
1580,1046
1489,1245
1300,130
1356,925
1653,867
2013,1855
2823,975
3102,333
2294,1544
2385,76
2444,155
1748,1748
1554,996
1498,564
1361,783
1346,536
1564,457
1640,767
2293,1284
2815,225
3137,725
2679,2530
1969,1296
1870,786
1633,1588
1529,866
1366,241
1357,1333
1570,262
1535,139
2491,1981
3084,176
2605,1776
2573,233
2143,58
1693,942
1504,587
1461,1386
1354,1012
1333,419
1492,167
1781,133
1915,1752
